nullНайти корень уравнения x^3-3,125x^2-3,5x+2,458=0 с х0 = 3.0 и х1 = 0.0 c точностью = 0.01

Метод секущих: 

|	№	|	xi-1	|	f(xi-1)	|		xi	|	f(xi)	|	xi+1	|	f(xi+1)	|	|xi+1 - xi|	|
|	0	|	1,0000	|	4,0000	|	3,0000	|	28,0000	|	0,6667	|	3,6296	|	2,3333		|
|	1	|	3,0000	|	28,0000	|	0,6667	|	3,6296	|	0,3191	|	3,7134	|	0,3475		|
|	2	|	0,6667	|	3,6296	|	0,3191	|	3,7134	|	15,7315	|	3881,5194	|	15,4124		|
|	3	|	0,3191	|	3,7134	|	15,7315	|	3881,5194	|	0,3044	|	3,7238	|	15,4271		|
|	4	|	15,7315	|	3881,5194	|	0,3044	|	3,7238	|	0,2896	|	3,7347	|	0,0148		|
|	5	|	0,3044	|	3,7238	|	0,2896	|	3,7347	|	5,3684	|	153,3474	|	5,0788		|
|	6	|	0,2896	|	3,7347	|	5,3684	|	153,3474	|	0,1628	|	3,8415	|	5,2056		|
|	7	|	5,3684	|	153,3474	|	0,1628	|	3,8415	|	0,0290	|	3,9710	|	0,1338		|
|	8	|	0,1628	|	3,8415	|	0,0290	|	3,9710	|	4,1316	|	70,3956	|	4,1026		|
|	9	|	0,0290	|	3,9710	|	4,1316	|	70,3956	|	-0,2162	|	4,2061	|	4,3478		|
|	10	|	4,1316	|	70,3956	|	-0,2162	|	4,2061	|	-0,4925	|	4,3730	|	0,2763		|
|	11	|	-0,2162	|	4,2061	|	-0,4925	|	4,3730	|	6,7453	|	304,1628	|	7,2378		|
|	12	|	-0,4925	|	4,3730	|	6,7453	|	304,1628	|	-0,5981	|	4,3841	|	7,3434		|
|	13	|	6,7453	|	304,1628	|	-0,5981	|	4,3841	|	-0,7055	|	4,3544	|	0,1074		|
|	14	|	-0,5981	|	4,3841	|	-0,7055	|	4,3544	|	-16,4050	|	-4394,5803	|	15,6995		|
|	15	|	-0,7055	|	4,3544	|	-16,4050	|	-4394,5803	|	-0,7210	|	4,3462	|	15,6840		|
|	16	|	-16,4050	|	-4394,5803	|	-0,7210	|	4,3462	|	-0,7365	|	4,3370	|	0,0155		|
|	17	|	-0,7210	|	4,3462	|	-0,7365	|	4,3370	|	-8,0454	|	-508,7301	|	7,3089		|
|	18	|	-0,7365	|	4,3370	|	-8,0454	|	-508,7301	|	-0,7983	|	4,2896	|	7,2471		|
|	19	|	-8,0454	|	-508,7301	|	-0,7983	|	4,2896	|	-0,8589	|	4,2253	|	0,0606		|
|	20	|	-0,7983	|	4,2896	|	-0,8589	|	4,2253	|	-4,8426	|	-104,7177	|	3,9837		|
|	21	|	-0,8589	|	4,2253	|	-4,8426	|	-104,7177	|	-1,0134	|	3,9727	|	3,8292		|
|	22	|	-4,8426	|	-104,7177	|	-1,0134	|	3,9727	|	-1,1534	|	3,6191	|	0,1400		|
|	23	|	-1,0134	|	3,9727	|	-1,1534	|	3,6191	|	-2,5861	|	-10,7092	|	1,4327		|
|	24	|	-1,1534	|	3,6191	|	-2,5861	|	-10,7092	|	-1,5152	|	2,0363	|	1,0708		|
|	25	|	-2,5861	|	-10,7092	|	-1,5152	|	2,0363	|	-1,6863	|	0,8909	|	0,1711		|
|	26	|	-1,5152	|	2,0363	|	-1,6863	|	0,8909	|	-1,8194	|	-0,2032	|	0,1331		|
|	27	|	-1,6863	|	0,8909	|	-1,8194	|	-0,2032	|	-1,7947	|	0,0142	|	0,0247		|
|	28	|	-1,8194	|	-0,2032	|	-1,7947	|	0,0142	|	-1,7963	|	0,0002	|	0,0016		|

x = -1,796
