Найти корень уравнения x^3-3,125x^2-3,5x+2,458=0 на интервале [-4.0;5.0] c точностью = 0.01

Метод простой итерации: 
|	№	|		xi	|	xi+1	|	F(xi+1)	|	f(xi+1)	||xi+1 - xi||
|	0	|	-4,0000	|	-3,1143	|	-2,7571	|	-47,1554|	0,8857	|
|	1	|	-3,1143	|	-2,7571	|	-2,5441	|	-32,6052|	0,3572	|
|	2	|	-2,7571	|	-2,5441	|	-2,4007	|	-25,3304|	0,2130	|
|	3	|	-2,5441	|	-2,4007	|	-2,2979	|	-20,9874|	0,1434	|
|	4	|	-2,4007	|	-2,2979	|	-2,2212	|	-18,1346|	0,1028	|
|	5	|	-2,2979	|	-2,2212	|	-2,1624	|	-16,1440|	0,0767	|
|	6	|	-2,2212	|	-2,1624	|	-2,1164	|	-14,6962|	0,0588	|
|	7	|	-2,1624	|	-2,1164	|	-2,0799	|	-13,6111|	0,0460	|
|	8	|	-2,1164	|	-2,0799	|	-2,0507	|	-12,7794|	0,0364	|
|	9	|	-2,0799	|	-2,0507	|	-2,0271	|	-12,1309|	0,0292	|
|	10	|	-2,0507	|	-2,0271	|	-2,0079	|	-11,6183|	0,0236	|
|	11	|	-2,0271	|	-2,0079	|	-1,9922	|	-11,2089|	0,0192	|
|	12	|	-2,0079	|	-1,9922	|	-1,9793	|	-10,8791|	0,0157	|
|	13	|	-1,9922	|	-1,9793	|	-1,9687	|	-10,6115|	0,0129	|
|	14	|	-1,9793	|	-1,9687	|	-1,9599	|	-10,3932|	0,0106	|
|	15	|	-1,9687	|	-1,9599	|	-1,9526	|	-10,2143|	0,0088	|
